event_type,event_cause,latitude,longitude,corridor,zone,police_station,junction,priority,requires_road_closure,vehicle_type,start_datetime,end_datetime
Other,Other,12.9793286,77.5105419,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,None,2024-03-08 00:49:05,2024-03-08 02:10:33
Other,Other,12.94819783,77.53467664,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,None,2024-01-31 23:11:54,2024-01-31 23:27:12
Other,Tree Fall,13.022765,77.6014354,Other Corridor,Central Zone,R.T. Nagar Traffic PS,Junction near R.T. Nagar Traffic PS,Medium,True,None,2024-03-08 00:28:29,2024-03-08 03:26:38
Road Repair,Construction,13.1511992,77.620242,Bellary Road 2,North Zone,Chikkajala Traffic PS,Hunsemarrenhalli Junction,High,False,None,2024-02-01 00:08:01,2024-02-01 06:07:46
Vehicle Breakdown,Breakdown,12.9664142,77.5125512,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Low,False,Truck,2024-02-01 00:57:55,2024-02-01 01:09:43
Vehicle Breakdown,Breakdown,12.9758786,77.5643384,Magadi Road,Central Zone,Magadi Road Traffic PS,Junction near Magadi Road Traffic PS,High,False,Auto-Rickshaw,2024-03-08 01:06:29,2024-03-08 01:30:59
Other,Tree Fall,12.9124656,77.5805324,Other Corridor,Central Zone,J.P. Nagar Traffic PS,Junction near J.P. Nagar Traffic PS,Low,False,None,2024-03-07 05:51:32,2024-03-08 02:19:36
Vehicle Breakdown,Breakdown,13.0378641,77.5222897,Tumkur Road,West Zone,Peenya Traffic PS,Namma Metro Circle,High,False,LCV,2024-02-01 01:56:47,2024-02-01 03:23:05
Vehicle Breakdown,Breakdown,13.0436683,77.6067467,ORR North 1,North Zone,Hebbala Traffic PS,Junction near Hebbala Traffic PS,High,False,Bus,2024-02-01 02:41:28,2024-02-01 03:00:18
Vehicle Breakdown,Breakdown,13.0145688,77.5835164,Bellary Road 1,Central Zone,Sadashivanagar Traffic PS,Enayathulla Mehkri Circle,High,False,LCV,2024-02-01 03:01:29,2024-02-01 03:25:08
Vehicle Breakdown,Breakdown,13.0186759,77.5588615,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Samvidhana Circle,High,False,LCV,2024-03-08 04:17:45,2024-03-08 04:54:15
Vehicle Breakdown,Breakdown,12.9494883,77.5368741,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Kimco Junction,Critical,True,Bus,2024-03-08 04:15:18,2024-03-08 04:38:41
Vehicle Breakdown,Breakdown,13.0229482,77.601028,Other Corridor,Central Zone,R.T. Nagar Traffic PS,Junction near R.T. Nagar Traffic PS,Low,False,Other,2024-03-08 04:24:30,2024-03-08 06:08:42
Vehicle Breakdown,Breakdown,12.9928917,77.5854867,Bellary Road 1,North Zone,High ground Traffic PS,Junction near High ground Traffic PS,High,False,Bus,2024-02-01 02:03:46,2024-02-01 03:30:03
Vehicle Breakdown,Breakdown,12.9625233,77.6415686,Old Airport Road,Central Zone,Jeevanbheemanagar Traffic PS,Junction near Jeevanbheemanagar Traffic PS,High,False,Car,2024-03-08 04:27:41,2024-03-08 05:38:32
Vehicle Breakdown,Breakdown,12.9891874,77.5070709,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,Truck,2024-03-08 04:03:17,2024-03-08 05:16:15
Road Repair,Construction,13.16120295,77.62691818,Bellary Road 2,North Zone,Chikkajala Traffic PS,Vidyanagar Junction,High,False,None,2024-02-01 04:22:39,2024-02-01 05:23:27
Other,Other,12.8569988,77.5889807,Bannerghata Road,Central Zone,Hulimavu Traffic PS,Junction near Hulimavu Traffic PS,High,False,None,2024-02-01 05:05:45,2024-02-01 07:05:21
Vehicle Breakdown,Breakdown,12.9446407,77.5969852,Other Corridor,Central Zone,Wilson Garden Traffic PS,Junction near Wilson Garden Traffic PS,Low,False,Bus,2024-02-01 03:56:43,2024-02-01 05:15:42
Vehicle Breakdown,Breakdown,13.0414238,77.545608,ORR North 2,West Zone,Jalahalli Traffic PS,Junction near Jalahalli Traffic PS,High,False,Truck,2024-03-08 05:42:27,2024-03-08 08:00:29
Vehicle Breakdown,Breakdown,12.95983785,77.64811735,Old Airport Road,Central Zone,Jeevanbheemanagar Traffic PS,Junction near Jeevanbheemanagar Traffic PS,High,False,LCV,2024-02-01 05:57:58,2024-02-01 06:26:20
Vehicle Breakdown,Breakdown,12.9197329,77.5835635,Other Corridor,Central Zone,Jayanagara Traffic PS,Junction near Jayanagara Traffic PS,Low,False,Bus,2024-03-08 05:42:59,2024-03-08 07:16:02
Vehicle Breakdown,Breakdown,12.8885722,77.640446,Hosur Road,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,High,False,Other,2024-02-01 06:35:40,2024-02-01 06:47:10
Vehicle Breakdown,Breakdown,12.9541849,77.5435568,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Bengaluru Body Builders Junction,High,False,Bus,2024-02-01 07:13:22,2024-02-01 08:19:36
Other,Other,12.9679023,77.5680413,Other Corridor,Central Zone,Chamarajpet Traffic PS,Junction near Chamarajpet Traffic PS,Low,False,None,2024-03-08 06:26:58,2024-03-08 09:46:52
Vehicle Breakdown,Breakdown,12.9013118,77.6322397,Hosur Road,South-East Zone,Madiwala Traffic PS,Garvebavipalya Junction,High,False,Bus,2024-02-01 08:30:57,2024-02-01 09:45:59
Other,Other,13.0379483,77.6257684,Hennur Main Road,Central Zone,K.G. Halli Traffic PS,Junction near K.G. Halli Traffic PS,High,False,None,2024-03-08 06:28:21,2024-03-08 07:12:13
Vehicle Breakdown,Breakdown,13.0176948,77.553788,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Other,2024-02-01 20:14:54,2024-02-01 20:37:04
Road Repair,Construction,12.9694199,77.7006686,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-02-01 20:39:02,2024-02-02 09:05:46
VIP Movement,VIP Movement,12.9643399,77.5855341,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Town Hall Junction,High,False,None,2024-02-01 20:44:47,2024-02-01 21:05:46
Other,Tree Fall,12.9441328,77.5010682,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,Medium,True,None,2024-03-08 07:07:56,2024-03-08 08:53:26
Vehicle Breakdown,Breakdown,12.9643404,77.5855854,Mysore Road,Central Zone,Halasuru Gate Traffic PS,Town Hall Junction,High,False,LCV,2024-02-01 21:00:35,2024-02-01 21:58:06
Vehicle Breakdown,Breakdown,13.0451384,77.5070153,Tumkur Road,West Zone,Peenya Traffic PS,Hesaragatta Cross Junction,High,False,Truck,2024-02-01 21:11:45,2024-02-01 21:45:05
Vehicle Breakdown,Breakdown,12.9474732,77.5340694,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Bus,2024-03-08 07:25:21,2024-03-08 08:04:58
Vehicle Breakdown,Breakdown,13.0355513,77.5265219,Tumkur Road,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,High,False,Car,2024-03-08 07:56:14,2024-03-08 08:06:24
Other,Tree Fall,12.92335,77.58296,Other Corridor,Central Zone,Jayanagara Traffic PS,Shri Satya Sai Circle,Medium,True,None,2024-03-08 08:06:30,2024-03-08 09:12:50
Vehicle Breakdown,Breakdown,12.9390583,77.6946217,ORR East 1,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,Bus,2024-02-01 23:19:25,2024-02-01 23:38:32
Other,Tree Fall,12.8509801,77.6601903,Other Corridor,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,Low,False,None,2024-03-08 08:01:56,2024-03-08 09:06:04
Other,Other,13.0145576,77.5696436,Other Corridor,Central Zone,Sadashivanagar Traffic PS,Junction near Sadashivanagar Traffic PS,Medium,True,None,2024-02-02 01:06:28,2024-02-02 01:49:26
Road Repair,Road Conditions,12.9697862,77.7499252,Other Corridor,Whitefield Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,Low,False,None,2024-02-02 04:22:15,2024-02-02 22:49:22
Other,Other,12.9228111,77.7365506,Other Corridor,Whitefield Zone,Whitefield Traffic PS,Junction near Whitefield Traffic PS,Low,False,None,2024-02-02 03:37:48,2024-02-02 05:05:07
Vehicle Breakdown,Breakdown,12.96652735,77.60810502,Mysore Road,Central Zone,Ashok Nagar Traffic PS,Mother Teresa Circle,High,False,LCV,2024-03-08 08:45:13,2024-03-08 09:51:21
Vehicle Breakdown,Breakdown,12.926187,77.6772301,ORR East 1,South-East Zone,Bellandur Traffic PS,Junction near Bellandur Traffic PS,High,False,Bus,2024-02-02 04:47:47,2024-02-02 05:01:20
Vehicle Breakdown,Breakdown,13.029877,77.5377738,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Other,2024-02-02 05:02:28,2024-02-02 05:33:06
Vehicle Breakdown,Breakdown,12.8353407,77.6791817,Other Corridor,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,Low,False,Truck,2024-02-02 06:42:32,2024-02-02 07:01:18
Vehicle Breakdown,Breakdown,12.9163498,77.6122067,Other Corridor,Central Zone,Mico Layout Traffic PS,Junction near Mico Layout Traffic PS,Low,False,LCV,2024-02-02 06:51:47,2024-02-02 08:08:51
Waterlogging,Waterlogging,12.9616717,77.6308433,Other Corridor,Central Zone,Halasur Traffic PS,Junction near Halasur Traffic PS,Low,False,None,2024-03-08 09:08:49,2024-03-08 22:49:42
Other,Other,12.9827733,77.5622665,Other Corridor,Central Zone,Sheshadripuram Traffic PS,Junction near Sheshadripuram Traffic PS,Low,False,None,2024-02-02 10:56:03,2024-02-02 11:21:25
Vehicle Breakdown,Breakdown,12.9520875,77.5407653,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Truck,2024-03-08 18:19:44,2024-03-08 18:35:30
Accident,Accident,12.9595784,77.6492766,Old Airport Road,Central Zone,Jeevanbheemanagar Traffic PS,Manipal Hospital Junction,High,False,None,2024-02-02 19:05:48,2024-02-02 19:41:46
Vehicle Breakdown,Breakdown,12.9557117,77.6916217,Old Airport Road,Whitefield Zone,HAL Old Airport Traffic PS,Doddanekundi Circle,High,False,Truck,2024-02-02 19:27:18,2024-02-02 19:54:46
Other,Other,12.9357223,77.5134413,Mysore Road,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,High,False,None,2024-02-02 21:22:52,2024-02-02 21:39:56
Road Repair,Construction,12.9694578,77.7006343,ORR East 2,Whitefield Zone,HAL Old Airport Traffic PS,Junction near HAL Old Airport Traffic PS,High,False,None,2024-02-02 21:40:29,2024-02-03 09:05:46
Vehicle Breakdown,Breakdown,13.0200506,77.7094059,Other Corridor,Whitefield Zone,K.R. Pura Traffic PS,Junction near K.R. Pura Traffic PS,Low,False,LCV,2024-02-02 21:52:18,2024-02-02 22:27:35
Vehicle Breakdown,Breakdown,12.9061591,77.5856052,ORR West 1,West Zone,J.P. Nagar Traffic PS,Junction near J.P. Nagar Traffic PS,High,False,Car,2024-02-03 00:09:29,2024-02-03 00:29:42
Vehicle Breakdown,Breakdown,12.9964326,77.5846186,Bellary Road 1,North Zone,High ground Traffic PS,Junction near High ground Traffic PS,High,False,Bus,2024-02-02 22:36:20,2024-02-03 00:57:58
Accident,Accident,12.9735765,77.5693008,Other Corridor,Central Zone,Chamarajpet Traffic PS,Cottonpet Circle,Low,False,None,2024-03-08 19:47:42,2024-03-08 21:05:59
Vehicle Breakdown,Breakdown,12.9354371,77.536311,ORR West 1,West Zone,Banashankari Traffic PS,Junction near Banashankari Traffic PS,High,False,Truck,2024-02-03 04:03:29,2024-02-03 04:39:34
Vehicle Breakdown,Breakdown,12.8878816,77.6407286,Hosur Road,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,High,False,LCV,2024-02-03 06:03:55,2024-02-03 06:35:26
Vehicle Breakdown,Breakdown,13.0451892,77.5070112,Tumkur Road,West Zone,Peenya Traffic PS,Hesaragatta Cross Junction,High,False,Bus,2024-02-03 05:52:22,2024-02-03 08:04:38
Vehicle Breakdown,Breakdown,12.9898004,77.5721914,Other Corridor,Central Zone,Sheshadripuram Traffic PS,Shri Rajiv Gandhi Circle,Low,False,Bus,2024-02-03 06:54:14,2024-02-03 08:06:35
Vehicle Breakdown,Breakdown,12.92227542,77.61942577,Hosur Road,South-East Zone,Madiwala Traffic PS,Junction near Madiwala Traffic PS,High,False,Bus,2024-02-03 06:52:55,2024-02-03 08:29:26
Other,Tree Fall,13.0386532,77.5740578,Other Corridor,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,Low,False,None,2024-03-08 22:12:26,2024-03-09 06:40:44
Vehicle Breakdown,Breakdown,12.9154072,77.5653126,ORR West 1,West Zone,Banashankari Traffic PS,Junction near Banashankari Traffic PS,High,False,Other,2024-03-08 21:40:42,2024-03-08 22:56:42
Vehicle Breakdown,Breakdown,12.961075,77.6373946,Old Airport Road,Central Zone,Halasur Traffic PS,Junction near Halasur Traffic PS,High,False,Car,2024-02-03 08:48:46,2024-02-03 08:59:07
Road Repair,Construction,12.9712598,77.597572,Other Corridor,Central Zone,Cubbon Park Traffic PS,Walton Road Circle,Medium,True,None,2024-03-08 22:18:14,2024-03-09 01:18:46
Vehicle Breakdown,Breakdown,13.03895,77.5895433,Bellary Road 1,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,LCV,2024-02-03 09:11:19,2024-02-03 09:22:11
Vehicle Breakdown,Breakdown,12.9955054,77.6656028,ORR North 1,Whitefield Zone,Banaswadi Traffic PS,Junction near Banaswadi Traffic PS,High,False,Truck,2024-02-03 17:21:22,2024-02-03 18:41:40
Vehicle Breakdown,Breakdown,12.9241031,77.6488026,ORR East 1,South-East Zone,HSR Layout Traffic PS,Agara Junction Flyover,High,False,Truck,2024-02-03 18:44:43,2024-02-03 19:01:15
Other,Other,12.9329717,77.5086981,Mysore Road,Central Zone,Jnanabharathi Traffic PS,Junction near Jnanabharathi Traffic PS,High,False,None,2024-02-03 20:10:54,2024-02-03 20:47:46
Vehicle Breakdown,Breakdown,12.9930661,77.6072646,Other Corridor,Central Zone,Pulikeshinagar(F.Town) Traffic PS,Coles Park Junction,Low,False,Bus,2024-02-03 21:34:57,2024-02-03 22:58:14
Vehicle Breakdown,Breakdown,12.9946463,77.757638,Other Corridor,Whitefield Zone,Mahadevapura Traffic PS,Junction near Mahadevapura Traffic PS,Low,False,Car,2024-02-03 22:46:09,2024-02-03 23:09:54
Vehicle Breakdown,Breakdown,12.8404633,77.6521017,Other Corridor,South-East Zone,Electronic City Traffic PS,Junction near Electronic City Traffic PS,Low,False,Bus,2024-02-03 23:29:58,2024-02-04 00:43:26
Vehicle Breakdown,Breakdown,12.990066,77.5051704,Magadi Road,West Zone,Kamakshipalya Traffic PS,Junction near Kamakshipalya Traffic PS,High,False,Bus,2024-02-03 23:31:11,2024-02-04 00:43:27
Vehicle Breakdown,Breakdown,13.0332299,77.5882243,Bellary Road 1,North Zone,Kodigehalli Traffic PS,Junction near Kodigehalli Traffic PS,High,False,LCV,2024-02-03 23:13:38,2024-02-04 00:46:18
Vehicle Breakdown,Breakdown,12.9559289,77.5459051,Mysore Road,Central Zone,Byatarayanapura Traffic PS,Junction near Byatarayanapura Traffic PS,High,False,Bus,2024-02-04 00:21:22,2024-02-04 00:35:56
Vehicle Breakdown,Breakdown,13.0198953,77.7095235,Other Corridor,Whitefield Zone,K.R. Pura Traffic PS,Zero Tolerance Junction,Low,False,Bus,2024-02-04 00:26:38,2024-02-04 00:39:32
Vehicle Breakdown,Breakdown,13.030071,77.536943,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Gorguntepalya Junction,High,False,Truck,2024-02-04 02:41:48,2024-02-04 04:24:35
Vehicle Breakdown,Breakdown,13.0455545,77.505774,Tumkur Road,West Zone,Peenya Traffic PS,Junction near Peenya Traffic PS,High,False,Bus,2024-02-04 01:41:44,2024-02-04 03:26:06
Vehicle Breakdown,Breakdown,12.99601,77.75823,Other Corridor,Whitefield Zone,Mahadevapura Traffic PS,Junction near Mahadevapura Traffic PS,Low,False,LCV,2024-03-09 01:53:07,2024-03-09 02:04:18
Vehicle Breakdown,Breakdown,12.9519615,77.4996318,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Ullal Junction,Low,False,Bus,2024-02-04 03:36:36,2024-02-04 04:56:08
Vehicle Breakdown,Breakdown,12.9605694,77.5042779,Other Corridor,Central Zone,Jnanabharathi Traffic PS,Kengunte Circle,Low,False,Bus,2024-02-04 05:37:12,2024-02-04 05:54:22
Vehicle Breakdown,Breakdown,12.9485683,77.5934648,Other Corridor,Central Zone,Wilson Garden Traffic PS,Junction near Wilson Garden Traffic PS,Low,False,Other,2024-03-09 02:21:23,2024-03-09 03:31:13
Road Repair,Construction,13.0418551,77.6138337,ORR North 1,North Zone,Hennuru Traffic PS,Junction near Hennuru Traffic PS,Critical,True,None,2024-03-09 00:32:11,2024-03-09 02:25:46
Vehicle Breakdown,Breakdown,13.0290051,77.5402099,Tumkur Road,West Zone,Yeshwanthpura Traffic PS,Junction near Yeshwanthpura Traffic PS,High,False,Truck,2024-03-09 03:00:00,2024-03-09 03:10:16
Vehicle Breakdown,Breakdown,13.0102,77.5903783,Other Corridor,Central Zone,R.T. Nagar Traffic PS,Junction near R.T. Nagar Traffic PS,Low,False,Auto-Rickshaw,2024-02-04 05:55:55,2024-02-04 06:11:46
Vehicle Breakdown,Breakdown,12.9592991,77.6545459,Old Airport Road,Central Zone,Jeevanbheemanagar Traffic PS,Junction near Jeevanbheemanagar Traffic PS,High,False,LCV,2024-02-04 06:04:14,2024-02-04 06:45:04
Vehicle Breakdown,Breakdown,12.9675759,77.6063726,Mysore Road,Central Zone,Ashok Nagar Traffic PS,Shoolay Circle,High,False,LCV,2024-03-09 05:14:41,2024-03-09 05:54:36
Other,Tree Fall,12.9392078,77.5800529,Other Corridor,Central Zone,Basavanagudi Traffic PS,Junction near Basavanagudi Traffic PS,Medium,True,None,2024-03-09 06:34:21,2024-03-09 07:27:12
Waterlogging,Waterlogging,12.948058,77.5739248,Other Corridor,Central Zone,Basavanagudi Traffic PS,Vanivilas Circle,Low,False,None,2024-03-09 06:43:02,2024-03-09 07:28:54
Other,Other,12.975762,77.5646846,Magadi Road,Central Zone,Magadi Road Traffic PS,Junction near Magadi Road Traffic PS,High,False,None,2024-03-09 07:00:11,2024-03-09 07:25:09
Vehicle Breakdown,Breakdown,12.9156273,77.5694489,Other Corridor,Central Zone,Banashankari Traffic PS,Junction near Banashankari Traffic PS,Low,False,Bus,2024-02-04 08:13:13,2024-02-04 08:35:27
Vehicle Breakdown,Breakdown,13.2675104,77.7198706,Other Corridor,Central Zone,Devanahalli Airport Traffic PS,Junction near Devanahalli Airport Traffic PS,Low,False,Truck,2024-02-04 09:47:43,2024-02-04 10:20:42
Vehicle Breakdown,Breakdown,12.9443726,77.597203,Other Corridor,Central Zone,Wilson Garden Traffic PS,Junction near Wilson Garden Traffic PS,Medium,True,Bus,2024-02-04 19:20:45,2024-02-04 19:45:30
